process,type,process_type,pathway
03_Hydrolysis,amino acid ,03_Hydrolysis_amino acid ,PWY-5437 // CITRULLINE-DEG-PWY // TRPCAT-PWY // THRDLCTCAT-PWY // PWY-5151 // P163-PWY // PWY-6328 // PWY-5079 // PWY-6505 // ASPARTATE-DEG1-PWY // PWY3O-4108 // PROUT-PWY // PWY-8015 // PWY-7158 // SERDEG-PWY // PWY-3181 // PWY-701 // PWY-7767 // PWY-8186 // PWY-5655 // TRYPTOPHAN-DEGRADATION-1 // PWY-5283 // HYDROXYPRODEG-PWY // PWY-8184 // PWY-5651 // PWY-8120 // METHIONINE-DEG1-PWY // PWY-8452 // PWY66-425 // HOMOCYSDEGR-PWY // PWY-5766 // ANAPHENOXI-PWY // PWY-6334 // PWY0-461 // VALDEG-PWY // HISDEG-PWY // PWY0-1535 // PWY-5328 // GLUTAMATE-DEG1-PWY // ASPARAGINE-DEG1-PWY-1 // ALACAT2-PWY // PWY-5031 // PWY-5742 // P162-PWY // ARG-GLU-PWY // PHENYLALANINE-DEG1-PWY // PWY-6309 // CYSTEINE-DEG-PWY // ARGASEDEG-PWY // PWY0-823 // GLUTAMINDEG-PWY // ARGDEG-IV-PWY // PWY-8190 // PWY-8453 // PWY-7514 // PWY-4021 // ORN-AMINOPENTANOATE-CAT-PWY // LYSINE-DEG1-PWY // PWY66-428 // PWY-5436 // PWY-8189 // GLYCGREAT-PWY // PWY-5075 // PWY-5324 // AST-PWY // TRPKYNCAT-PWY // PWY-8448 // PWY-5329 // LYSDEGII-PWY // THREOCAT-PWY // PWY0-521 // PWY0-1305 // PWY-3162 // PWY-5076 // PWY-6344 // GLUTDEG-PWY // ALANINE-DEG3-PWY // TYRFUMCAT-PWY // ARGDEG-PWY // ARG-PRO-PWY // PWY1QP9-2 // PWY-8294 // PWY-5088 // PWY-4002 // ALADEG-PWY // THREONINE-DEG2-PWY // PWY-8183 // ARGDEG-V-PWY // GLYCLEAV-PWY // PWY-5024 // HISTDEG-PWY // PWY-1781 // ARGDEG-III-PWY // PWY-5327 // PWY-8016 // PWY-6318 // HISHP-PWY // PWY-8187 // PWY-8431 // PWY-7515 // PWY-5311 // LCYSDEG-PWY // ILEUDEG-PWY // TRYPDEG-PWY // GLUDEG-II-PWY // PWY-8346 // PWY-8110 // PWY-5087 // PWY1-2 // ASPARAGINE-DEG1-PWY // BETA-ALA-DEGRADATION-I-PWY // PWY-5057 // GLUDEG-I-PWY // PWY-5030 // PWY-8188 // PWY-5314 // GLUTAMINEFUM-PWY // PWY-5082 // PWY-5081 // PWY-8185 // ORNARGDEG-PWY // PWY-5298 // PWY-5159 // PWY-8014 // PWY-6307 // PWY-7523 // PWY-6422 // PWY-5028 // PWY0-1608 // PWY-8291 // PWY-5280 // PWY-8017 // ARGDEGRAD-PWY // PWY-5078 // LEU-DEG2-PWY
03_Hydrolysis,fatty acid and lipid ,03_Hydrolysis_fatty acid and lipid ,LIPAS-PWY // PWY-7337 // PWY-6837 // PWY-8135 // LIPASYN-PWY // PWY-6944 // PWY-6946 // PWY-8155 // PWY-7783 // PWY-8056 // PWY-7367 // PWY-7288 // PWY-7338 // PWY-7307 // PWY-6945 // PWY-8182 // PWY-2501 // PWY-7339 // PWY-6947 // PWY-8256 // PWY-6948 // PWY-8351 // PWY-6937 // FAO-PWY // PWY-6943 // PWY-8181 // PWY-7292 // PWY-5137 // PWY66-387 // PWY-8255 // PWY-8152 // PWY-7340 // PWY-5136 // SOPHOROSYLOXYDOCOSANOATE-DEG-PWY // PWY-8151 // PWY-6368 // PWY-6518 // PWY66-391 // PWY66-388 // PWY-6483 // PWY-6928 // PWY6666-1 // PWY-7366 // PWY3DJ-11470 // PWY-8354 // PWY-7291 // PWY-8134 // PWY-8154 // PWY-7119 // PWY-5138 // PWY-6111 // PWY-8254 // PWY0-1337 // PWY-7754
03_Hydrolysis,polysaccharide,03_Hydrolysis_polysaccharide,PWY-6821 // PWY-7645 // PWY-7662 // PWY-6572 // PWY-7118 // PWY-6769 // PWY-6737 // PWY-6789 // PWY-6986 // PWY-6791 // PWY-6784 // PWY-6815 // PWY-6822 // PWY-6805 // PWY-7651 // PWY-7646 // PWY-6576 // GLYCOCAT-PWY // PWY-6788 // PWY-8314 // PWY-6813 // PWY-6731 // PWY-6855 // PWY-6724 // PWY-6816 // PWY-6812 // PWY-842 // PWY-6807 // PWY-5941 // PWY-6771 // PWY-6717 // PWY-6573 // PWY-7647 // PWY-8006 // PWY-7822 // PWY-6735 // PWY-6827 // PWY-6902 // PWY-7246 // PWY-6817 // PWY-7644 // PWY-1081 // PWY-862 // PWY-7248 // PWY-7456
03_Hydrolysis,aromatic compounds,03_Hydrolysis_aromatic compounds,PWY-7113 // PWY-8287 // PWY-5180 // PWY-5640 // PHENOLDEG-PWY // PWY-6051 // PWY-6081 // P141-PWY // PWY-5648 // 14DICHLORBENZDEG-PWY // PWY-6084 // PWY-6954 // P3-PWY // PWY-7010 // PWY-6338 // PWY5F9-12 // PWY-5165 // PWY-6192 // PWY-6091 // PWY-5450 // 3-HYDROXYPHENYLACETATE-DEGRADATION-PWY // PWY-5489 // TOLUENE-DEG-CATECHOL-PWY // PWY-7700 // PWY-7772 // PWY-5644 // PWY-1501 // PWY-5487 // PWY-7698 // PWY-5427 // PWY-8375 // PWY-6217 // PWY-7703 // PWY-5691 // PWY-7773 // PWY-7098 // PWY-6184 // PWY-6550 // TOLSULFDEG-PWY // PWY-6215 // PWY-2381 // PWY-8386 // PWY-6534 // PWY-6228 // PWY-6090 // PWY-5169 // PWY-6087 // PWY-8111 // PWY-7011 // PWY-5488 // PWY-8003 // PWY-5171 // PWY-721 // PWY-6193 // PWY-7849 // PWY-5428 // GALLATE-DEGRADATION-II-PWY // P661-PWY // PWY-1381 // PWY-5415 // PWY-6185 // PWY-5170 // PWY-6094 // PWY-5726 // PWY-5319 // PWY-6336 // P342-PWY // PWY0-321 // PWY-8065 // PWY-6340 // PWY-5724 // PWY-6191 // PWY-5642 // PWY-7521 // PWY-5266 // PWY-6083 // PWY-5062 // PWY-6183 // TOLUENE-DEG-3-OH-PWY // PWY-7081 // PWY-7097 // PWY-5163 // PWY-7006 // PWY-5055 // PWY-6099 // PWY-7214 // PWY-7512 // FLUORENE-DEG-9-ONE-PWY // PWY-8162 // PWY-6102 // BENZCOA-PWY // PWY-8376 // PWY-6690 // PWY-7480 // PWY-7557 // PWY-116 // PWY-8432 // PWY-6223 // TOLUENE-DEG-2-OH-PWY // P281-PWY // PWY-7628 // PWY-8286 // TOLUENE-DEG-DIOL-PWY // PWY-5033 // PWY-6103 // PWY-5429 // PWY-5184 // PWY-6085 // PWY-5641 // PWY-7469 // PWY-6640 // PWY-6667 // PWY-8305 // PWY-5430 // CATECHOL-ORTHO-CLEAVAGE-PWY // PWY-6532 // PWY-7044 // TOLUENE-DEG-4-OH-PWY // PWY-6190 // PWY-5418 // PWY-6200 // PWY-8487 // PWY-6088 // PWY-7747 // PWY-6178 // PWY-7757 // PWY-6104 // PWY-81 // PWY-6636 // PWY-2504 // PWY-481 // PWY-7046 // PWY-8473 // GALLATE-DEGRADATION-I-PWY // PWY-7795 // M-CRESOL-DEGRADATION-PWY // PWY-8161 // PWY-5490 // PWY-6957 // PWY-1361 // PWY-7430 // PWY-722 // PWY5F9-3233 // PWY-5179 // DESULFONATION-PWY // P165-PWY // PWY-5419 // PWY-6210 // P662-PWY // PWY-6079 // PWY-6071 // PWY-6781 // PWY-5643 // PWY-7394 // PWY-8288 // PWY-6077 // PWY-5637 // PWY-7403 // PWY-6221 // PWY-7825 // PWY-7771 // PWY-6216 // PWY-5178 // PWY-7009 // PWY-6533 // PWY-5273 // PWY-6197 // PWY-7620 // PWY-7951 // PWY-2503 // METHYLGALLATE-DEGRADATION-PWY // PWY-5183 // PWY-7002 // P184-PWY // PWY-1341 // PWY-681 // PWY-6956 // PWY-5431 // PWY-5731 // P343-PWY // PWY-6214 // PWY-5645 // P345-PWY // PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY // PWY-7627 // PWY-5420 // PWY-8025 // PWY-6093 // HCAMHPDEG-PWY // PWY-5417 // PWY-6086 // PWY-5727 // PWY-7496 // PWY-6752 // PWY-741 // PWY-5647 // PWY18C3-24 // PWY-6041 // P321-PWY // PWY-2421 // PWY-7982 // PWY-6089 // PWY-8002 // 4TOLCARBDEG-PWY // P421-PWY // PWY-6504 // PWY-6941 // 2PHENDEG-PWY // PWY-6107 // CENTBENZCOA-PWY // 2ASDEG-PWY // 4-HYDROXYMANDELATE-DEGRADATION-PWY // PARATHION-DEGRADATION-PWY // PWY-6080 // PWY-6343 // 2AMINOBENZDEG-PWY // PWY-283 // P183-PWY // PWY-5181 // PWY-7823 // PWY-6339 // PWY-6182 // PWY-7008 // PWY-8087 // PWY-142 // PWY0-1277 // PWY-6224 // PWY-5636 // PWY-8306 // PWY-7681
03_Hydrolysis,sugar,03_Hydrolysis_sugar,TREDEGLOW-PWY // PWY-8020 // LACTOSECAT-PWY // PWY-7077 // PWY0-1301 // GALDEG-PWY // PWY-7459 // DARABCAT-PWY // PWY-6693 // PWY-7180 // PWY4FS-12 // PWY-6760 // PWY-7295 // PWY0-1182 // P124-PWY // PWY-7294 // PWY-2721 // PWY-6507 // XYLCAT-PWY // BGALACT-PWY // PWY-5525 // PWY-3801 // PWY-7242 // PWY0-44 // SUCUTIL-PWY // PWY-8058 // PWY-7568 // GLUAMCAT-PWY // PWY-7562 // PWY-7178 // PWY0-1324 // PWY-8334 // DARABCATK12-PWY // PWY-6517 // PWY-5519 // P302-PWY // PWY4FS-13 // PWY-8444 // PWY-6501 // PWY-6778 // SUCROSEUTIL2-PWY // PWY-5257 // PWY-8390 // PWY-5517 // PWY-6317 // PWY-8121 // PWY-7247 // PWY-7395 // PWY-7130 // RHAMCAT-PWY // PWY66-373 // PWY-6486 // PWY-8060 // PWY-621 // LYXMET-PWY // PWY-8093 // DHGLUCONATE-PYR-CAT-PWY // ARABCAT-PWY // FUCCAT-PWY // PWY0-1314 // RIBOKIN-PWY // PWY-7345 // PWY0-1466 // PWY-6491 // GALACTUROCAT-PWY // PWY-8089 // PWY-8330 // NPGLUCAT-PWY // MANNCAT-PWY // PWY-6906 // PWY-6901 // PWY3O-1743 // PWY-6713 // PWY-2722 // PWY-8324 // PWY-6516 // PWY-8331 // PWY-2723 // PWY-8391 // MALTOSECAT-PWY // PWY-8004 // PWY-5384 // PWY-5515 // PWY-8329 // PWY-6714 // GLUCUROCAT-PWY // GLUCOSE1PMETAB-PWY // PWY-2221 // PWY-6992 // PWY-7581 // LACTOSEUTIL-PWY // PWY0-1300 // PWY-8402 // PWY-8318 // PWY-5516
02_Fermentation,alcohols,02_Fermentation_alcohols,PWY-7396 // PWY-7111 // P461-PWY // P122-PWY // PWY-5480 // PWY-7003 // FERMENTATION-PWY // PWY-6587 // PWY-7385 // PWY-5486 // P161-PWY // PWY-6886 // PWY-6863 // PWY-6583 // PWY-6883 // PWY-6130 // PWY-7541
02_Fermentation,C2: acetic acid,02_Fermentation_C2: acetic acid,PWY0-1312 // PWY-5537 // PWY-5100 // P461-PWY // PWY-5535 // PROPFERM-PWY // PWY-5482 // P41-PWY // P163-PWY // PWY-5768 // PWY-5483 // P161-PWY // PWY-804 // P124-PWY // P162-PWY // PWY-5096 // PWY-8328 // PWY-5600 // P142-PWY // PWY-5485 // PWY-8377 // PWY-5538 // PWY-5536
02_Fermentation,C3: propionic acid,02_Fermentation_C3: propionic acid,PWY-8086 // P108-PWY // PROPFERM-PWY // PWY-5494 // PWY-8188 // PWY-7013 // PWY-5088
02_Fermentation,C4: butyric acid,02_Fermentation_C4: butyric acid,PWY-5676 // PWY-8190 // PWY-5677 // P163-PWY // CENTFERM-PWY // P162-PWY // PWY-5022 // GLUDEG-II-PWY
02_Fermentation,fatty acid biosynthesis,02_Fermentation_fatty acid biosynthesis,FASYN-INITIAL-PWY // FASYN-ELONG-PWY  
